city,state,population,lat,lon
New York,NY,19940274,40.7222,-74.0225
Los Angeles,CA,12927614,34.2215,-118.1494
Chicago,IL,9406924,41.6675,-87.9597
Dallas,TX,8344032,32.8495,-96.9704
Phoenix,AZ,5186958,33.1859,-112.0707
Boston,MA,5025517,42.5584,-71.1007
Riverside,CA,4744214,34.5517,-116.1297
San Francisco,CA,4648486,37.7809,-122.1668
Detroit,MI,4400578,42.7196,-83.2329
Seattle,WA,4145494,47.5574,-121.8506
Minneapolis,MN,3757952,45.1034,-93.2753
Tampa,FL,3424560,28.1538,-82.405
San Diego,CA,3298799,33.0343,-116.735
Denver,CO,3050512,39.4337,-104.8944
Orlando,FL,2940513,28.4343,-81.363
Charlotte,NC,2883370,35.1686,-80.7954
Baltimore,MD,2859024,39.3386,-76.5807
St. Louis,MO,2809527,38.7352,-90.3501
Las Vegas,NV,2398871,36.2152,-115.0135
Cincinnati,OH,2304804,39.0811,-84.4646
Kansas City,MO,2254288,38.9371,-94.4444
Houma,LA,199206,29.4838,-90.6656
Jackson,TN,183680,35.7463,-88.8811
Blacksburg,VA,183318,37.1209,-80.5329
Burlington,NC,183040,36.0437,-79.3995
Kahului,HI,163769,20.8628,-156.569
